training,constant,seed,accuracy,ce_nats
single_constant,pi,11,0.10202648475120385,2.310564656510208
single_constant,pi,29,0.10323033707865169,2.308750060741247
single_constant,e,11,0.10192616372391654,2.312825357550411
single_constant,e,29,0.09610754414125201,2.310306065346609
single_constant,sqrt2,11,0.10112359550561797,2.3089493312192766
single_constant,sqrt2,29,0.1002207062600321,2.310951637035388
single_constant,sqrt3,11,0.09741171749598716,2.314020049705934
single_constant,sqrt3,29,0.09871589085072231,2.3128765957313404
