constant,single_accuracy,single_ce,pooled_accuracy,pooled_ce,pooled_minus_single_acc,pooled_minus_single_ce
e,0.09901685393258428,2.31156571144851,0.0979467629748528,2.306320468010655,-0.0010700909577314732,-0.005245243437855152
pi,0.10262841091492778,2.3096573586257274,0.0999866238630283,2.3056432194350047,-0.0026417870518994774,-0.0040141391907226875
sqrt2,0.10067215088282504,2.3099504841273326,0.1008560727661851,2.3057285429259045,0.0001839218833600692,-0.004221941201428159
sqrt3,0.09806380417335474,2.313448322718637,0.0984818084537185,2.306961475941764,0.0004180042803637596,-0.006486846776872834
